address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"1301 W Glade Rd,Ste 194,Euless, TX 76039",iTea Lounge,Euless,9/30/2013,Coffee & Tea/Juice Bars & Smoothies,10/11/2020,4,127,TX,1301 W Glade Rd,76039
"217 Harwood Rd,Ste 112,Bedford, TX 76021",Sphere Boba & Tea,Bedford,6/11/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/9/2020,4,30,TX,217 Harwood Rd,76021
"426 Fm 548,Ste 126,Forney, TX 75126",Thai.pho,Forney,4/5/2019,Thai/Vietnamese,11/1/2020,4,91,TX,426 Fm 548,75126
"4302 Bryan St,Dallas, TX 75204",Vietnam Restaurant,Dallas,6/10/2007,Vietnamese/Noodles,10/21/2020,4,406,TX,4302 Bryan St,75204
"11420 Emerald St,Dallas, TX 75229",Mozart Bakery,Dallas,1/28/2009,Bakeries/Coffee & Tea,9/19/2020,3,123,TX,11420 Emerald St,75229
"2528 Old Denton Rd,Ste 150,Carrollton, TX 75006",Feng Cha - Carrollton,Carrollton,4/20/2019,Bubble Tea,9/15/2020,4,56,TX,2528 Old Denton Rd,75006
"240 Legacy Dr,308F,Plano, TX 75023",FULLL,Plano,4/11/2017,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,11/1/2020,4,142,TX,240 Legacy Dr,75023
"9780 Walnut St,Ste 340,Dallas, TX 75243",Bistro B,Dallas,2/8/2007,Vietnamese/Asian Fusion/Chinese,10/22/2020,3,952,TX,9780 Walnut St,75243
"3520 Preston Rd,Ste 108,Frisco, TX 75034",Vivi Bubble Tea,Frisco,11/19/2017,Bubble Tea/Taiwanese,9/29/2020,4,104,TX,3520 Preston Rd,75034
"210 Central Expy S,Ste 74,Allen, TX 75013",Hello Boba,Allen,10/20/2017,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/27/2020,4,118,TX,210 Central Expy S,75013
"8604 Preston Rd,Ste 121,Plano, TX 75024",Hi Sweetie Ice Cream Rolls & Desserts,Plano,3/4/2017,Ice Cream & Frozen Yogurt/Bubble Tea/Shaved Snow,9/27/2020,4,227,TX,8604 Preston Rd,75024
"6030 Luther Ln,Ste 130,Lakeview Dermatology,Dallas, TX 75225",Urban Caphe,Dallas,12/4/2013,Vietnamese,10/1/2020,3,214,TX,6030 Luther Ln,75225
"3285 Regent Blvd,Ste 130,Irving, TX 75063",Maui Fresh Grill,Irving,6/30/2018,Hawaiian/Asian Fusion/Poke,10/16/2020,4,159,TX,3285 Regent Blvd,75063
"2540 Old Denton Rd,Ste 130,Carrollton, TX 75006",Snow City Cafe,Carrollton,6/26/2016,Desserts/Bubble Tea/Shaved Snow,10/29/2020,4,369,TX,2540 Old Denton Rd,75006
"6832 Coit Rd,Ste 270B,Plano, TX 75023",Sugar Pine Creamery,Plano,1/25/2019,Ice Cream & Frozen Yogurt/Bubble Tea,10/8/2020,5,92,TX,6832 Coit Rd,75023
"2001 Coit Rd,Ste 137,Plano, TX 75075",Kung Fu Tea,Plano,12/1/2016,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/7/2020,3,116,TX,2001 Coit Rd,75075
"2909 W 15th St,Plano, TX 75075",QQ Teahouse,Plano,2/5/2014,Taiwanese/Bubble Tea,9/4/2020,4,251,TX,2909 W 15th St,75075
"2747 W 15th St,Plano, TX 75075",Taiwan Cafe,Plano,5/28/2008,Taiwanese/Chinese,10/28/2020,4,249,TX,2747 W 15th St,75075
"920 S Harwood St,Ste 106,Dallas, TX 75201",Nammi,Dallas,3/26/2017,Vietnamese/Noodles/Asian Fusion,10/20/2020,4,67,TX,920 S Harwood St,75201
"3112 N Jupiter Rd,Ste 301,Garland, TX 75044",Saigon Cha Lua,Garland,8/22/2020,Vietnamese/Bubble Tea/Juice Bars & Smoothies,8/22/2020,5,1,TX,3112 N Jupiter Rd,75044
"4440 W Illinois Ave,Ste 400a,Dallas, TX 75211",Ly Foods Market,Dallas,8/28/2012,Thai/Laotian,9/13/2020,4,145,TX,4440 W Illinois Ave,75211
"2625 W Pioneer Pkwy,Ste 202,Grand Prairie, TX 75051",Gong Cha,Grand Prairie,12/9/2017,Bubble Tea,10/24/2020,4,69,TX,2625 W Pioneer Pkwy,75051
"4140 E Renner Rd,Ste 200,Richardson, TX 75082",Smiley Cup,Richardson,5/3/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/12/2020,4,65,TX,4140 E Renner Rd,75082
"10945 Estate Ln,Ste 160,Dallas, TX 75238",Le's Kitchen,Dallas,,Vietnamese/Breakfast & Brunch/Bubble Tea,,,,TX,10945 Estate Ln,75238
"2301 N Central Expy,Ste 160,Plano, TX 75075",Zero Degrees,Plano,6/7/2018,Bubble Tea/Coffee & Tea,10/31/2020,4,228,TX,2301 N Central Expy,75075
"6121 W Park Blvd,A119,Plano, TX 75093",Kokee Tea,Plano,2/15/2020,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,8/12/2020,3,12,TX,6121 W Park Blvd,75093
"2205 N Central Expy,Ste 120,Plano, TX 75075",Mango Mango Dessert,Plano,3/24/2017,Desserts,10/29/2020,4,345,TX,2205 N Central Expy,75075
"3701 S Cooper St,Ste 125,Arlington, TX 76015",Feng Cha - Arlington,Arlington,11/11/2018,Bubble Tea/Desserts/Coffee & Tea,9/22/2020,4,96,TX,3701 S Cooper St,76015
"3000 Northside Blvd,Ste 600,Richardson, TX 75080",Delish Bubble Tea,Richardson,3/28/2017,Bubble Tea/Juice Bars & Smoothies/Ice Cream & Frozen Yogurt,9/14/2020,3,38,TX,3000 Northside Blvd,75080
"8240 Preston Rd,Ste 177,Plano, TX 75024",Mac's Boba Cafe,Plano,8/2/2020,Bubble Tea/Tea Rooms,10/24/2020,4,26,TX,8240 Preston Rd,75024
