address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"1304 E Chandler Blvd,Ste 104,Phoenix, AZ 85048",Yoasis,Phoenix,10/12/2010,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,,4,63,AZ,1304 E Chandler Blvd,85048
"10160 W Mcdowell Rd,Ste 130,Avondale, AZ 85392",JT Boba House,Avondale,10/14/2014,Coffee & Tea/Bubble Tea/Kombucha,10/9/2020,3,247,AZ,10160 W Mcdowell Rd,85392
"7521 W Cactus Rd,Ste 101,Peoria, AZ 85345",Bomboba,Peoria,2/13/2013,Bubble Tea/Juice Bars & Smoothies/Ice Cream & Frozen Yogurt,10/19/2020,3,298,AZ,7521 W Cactus Rd,85345
"110 S Val Vista Dr,Ste 103,Gilbert, AZ 85296",Fresh Fast Smoothie,Gilbert,1/4/2018,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,9/13/2020,4,34,AZ,110 S Val Vista Dr,85296
"2919 S Market,Gilbert, AZ 85297",Swig,Gilbert,8/12/2017,Desserts/Juice Bars & Smoothies/Bubble Tea,9/14/2020,3,39,AZ,2919 S Market,85297
"1901 W Warner Rd,Ste 1,Chandler, AZ 85224",Lee's Sandwiches,Chandler,1/11/2006,Sandwiches/Coffee & Tea/Vietnamese,9/28/2020,4,570,AZ,1901 W Warner Rd,85224
"1920 W Broadway Rd,Mesa, AZ 85202",AZ International Marketplace,Mesa,4/20/2016,International Grocery,9/30/2020,3,97,AZ,1920 W Broadway Rd,85202
"4920 W Thunderbird Rd,Ste 110,Glendale, AZ 85306",Pho Avina,Glendale,6/14/2007,Vietnamese/Soup/Salad,10/24/2020,4,375,AZ,4920 W Thunderbird Rd,85306
"7575 W Cactus Rd,Peoria, AZ 85381",Lee Lee International Supermarket,Peoria,2/22/2008,"Seafood Markets/International Grocery/Beer, Wine & Spirits",9/12/2020,4,234,AZ,7575 W Cactus Rd,85381
"16630 W Greenway Rd,Ste 321,Surprise, AZ 85388",Boba Craze,Surprise,6/15/2017,Bubble Tea/Ice Cream & Frozen Yogurt/Juice Bars & Smoothies,10/15/2020,4,55,AZ,16630 W Greenway Rd,85388
"2025 N Dobson Rd,Chandler, AZ 85224",Lee Lee International Supermarkets,Chandler,6/29/2006,"Seafood Markets/Beer, Wine & Spirits/International Grocery",10/17/2020,4,353,AZ,2025 N Dobson Rd,85224
"9380 W Westgate Blvd,Ste d-103,Glendale, AZ 85305",Blendz Boba Tea Lounge,Glendale,2/13/2018,Desserts/Coffee & Tea/Bubble Tea,10/17/2020,3,143,AZ,9380 W Westgate Blvd,85305
"6555 E Southern Ave,Level 1 Kiosk,Mesa, AZ 85206",Boba Tea,Mesa,9/10/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/15/2020,2,7,AZ,6555 E Southern Ave,85206
"1381 N Alma School Rd,Chandler, AZ 85224",Saigon Pho & Seafood,Chandler,6/29/2006,Vietnamese/Seafood/Soup,9/15/2020,4,454,AZ,1381 N Alma School Rd,85224
"3519 W Glendale Ave,Phoenix, AZ 85051",Bosa Donuts,Phoenix,7/8/2009,Donuts,8/27/2020,4,73,AZ,3519 W Glendale Ave,85051
"7700 W Arrowhead Towne Ctr,Glendale, AZ 85308",Boba Tea Company,Glendale,7/15/2017,Bubble Tea,10/28/2020,2,28,AZ,7700 W Arrowhead Towne Ctr,85308
"3128 South Mill Ave,Tempe, AZ 85282",Azusa Ramen,Tempe,8/20/2019,Ramen,10/8/2020,4,119,AZ,3128 South Mill Ave,85282
"7480 W Bell Rd,Ste 108,Glendale, AZ 85308",Zero Degrees,Glendale,9/3/2017,Bubble Tea/Coffee & Tea,10/25/2020,3,475,AZ,7480 W Bell Rd,85308
"13824 W Mcdowell Rd,Ste 103,Goodyear, AZ 85395",Express Donuts,Goodyear,6/2/2012,Coffee & Tea/Donuts,,4,202,AZ,13824 W Mcdowell Rd,85395
"4920 W Thunderbird Rd,Glendale, AZ 85306","Ohya Sushi, Korean Kitchen & Bar",Glendale,3/30/2007,Korean/Sushi Bars/Bars,10/29/2020,3,560,AZ,4920 W Thunderbird Rd,85306
"3111 W Chandler Blvd,Chandler Fashion Ctr,Chandler, AZ 85226",Boba Tea Company,Chandler,6/2/2014,Coffee & Tea/Juice Bars & Smoothies,10/21/2020,3,98,AZ,3111 W Chandler Blvd,85226
"1210 E Southern Ave,Mesa, AZ 85204",Panda Express,Mesa,3/20/2015,Fast Food/Chinese/Bubble Tea,9/6/2020,1,66,AZ,1210 E Southern Ave,85204
"5000 S Arizona Mills Cir,Ste 125,Tempe, AZ 85282",YoYo Yogurt,Tempe,4/28/2009,Ice Cream & Frozen Yogurt/Juice Bars & Smoothies,1/20/2019,2,14,AZ,5000 S Arizona Mills Cir,85282
"6135 N 35th Ave,Ste 143,Phoenix, AZ 85017",Bobaholic Milk Tea Lounge,Phoenix,9/2/2019,Bubble Tea,10/17/2020,4,50,AZ,6135 N 35th Ave,85017
"960 W University Dr,Tempe, AZ 85281",Mochi Fresh,Tempe,9/11/2019,Desserts/Bubble Tea,11/1/2020,4,172,AZ,960 W University Dr,85281
"4750 N Central Ave,Phoenix, AZ 85012",My Tea,Phoenix,5/12/2016,Bubble Tea/Juice Bars & Smoothies/Shaved Snow,10/21/2020,4,151,AZ,4750 N Central Ave,85012
"550 W McDowell Rd,Phoenix, AZ 85003",Pop 'N Tea Bar,Phoenix,1/26/2018,Bubble Tea/Desserts/Ice Cream & Frozen Yogurt,10/29/2020,4,351,AZ,550 W McDowell Rd,85003
