address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"915 Race St,Philadelphia, PA 19107",Megumi Japanese Ramen & Sushi Bar,Philadelphia,,Ramen/Sushi Bars,10/11/2020,4,178,PA,915 Race St,19107
"48 N 10th St,Philadelphia, PA 19107",QT Vietnamese Sandwich,Philadelphia,3/2/2009,Sandwiches/Vietnamese,10/27/2020,4,517,PA,48 N 10th St,19107
"5520 Whitaker Ave,Philadelphia, PA 19124",BAMBU,Philadelphia,10/7/2014,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,5/28/2020,3,55,PA,5520 Whitaker Ave,19124
"513 Adam Ave,Philadelphia, PA 19120",Tasty Pot - Philadelphia,Philadelphia,1/17/2020,Taiwanese/Bubble Tea/Hot Pot,6/9/2020,4,16,PA,513 Adam Ave,19120
"7050 Terminal Sq,Ste 217,Upper Darby, PA 19082",S&P Boba Tea,Upper Darby,3/10/2018,Bubble Tea/Desserts,8/31/2020,4,20,PA,7050 Terminal Sq,19082
"4040 City Ave,Philadelphia, PA 19131",DJ Kitchen,Philadelphia,9/15/2018,Chinese/Bubble Tea,10/26/2020,4,96,PA,4040 City Ave,19131
"3900 Sansom St,Philadelphia, PA 19104",Tea Do,Philadelphia,5/3/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/23/2020,4,26,PA,3900 Sansom St,19104
"600 Washington Ave,Unit 16,Philadelphia, PA 19147",Kung Fu Tea,Philadelphia,12/27/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,8/14/2020,3,13,PA,600 Washington Ave,19147
"145 N 11th St,Philadelphia, PA 19107",A La Mousse,Philadelphia,9/24/2015,Desserts/Coffee & Tea/Bakeries,10/5/2020,4,617,PA,145 N 11th St,19107
"2451 N 54th,Philadelphia, PA 19131",Fat tuna,Philadelphia,7/1/2019,Sushi Bars/Ramen/Bubble Tea,8/2/2020,4,14,PA,2451 N 54th,19131
"1333 W Cheltenham Ave,Elkins Park, PA 19027",Sangkee Asian Kitchen,Elkins Park,5/1/2015,Chinese,8/26/2020,4,126,PA,1333 W Cheltenham Ave,19027
"1754 S Hicks St,Philadelphia, PA 19145",Hardena/Waroeng Surabaya Restaurant,Philadelphia,9/20/2007,Indonesian,10/28/2020,4,354,PA,1754 S Hicks St,19145
"1214 N Black Horse Pike,Gloucester Township, NJ 08029",Canton Express,Gloucester Township,10/26/2019,Chinese/Chicken Wings/Bubble Tea,5/30/2020,3,9,NJ,1214 N Black Horse Pike,08029
"1428 N Clayton St,Wilmington, DE 19806",Pinji's Cafe,Wilmington,8/7/2016,Sandwiches/Juice Bars & Smoothies/Gluten-Free,5/16/2020,4,25,DE,1428 N Clayton St,19806
"1900 Greentree Rd,Cherry Hill, NJ 08003",Pho Eden,Cherry Hill,2/17/2007,Vietnamese/Noodles/Soup,8/31/2020,4,156,NJ,1900 Greentree Rd,08003
"131 Bridge St,Ste 4,Phoenixville, PA 19460",Chikara Sushi & Asian Fusion,Phoenixville,4/1/2017,Sushi Bars/Asian Fusion,9/25/2020,4,123,PA,131 Bridge St,19460
"1200 Welsh Rd,North Wales, PA 19454",Pho and More,North Wales,1/16/2011,Vietnamese/Thai,10/13/2020,3,225,PA,1200 Welsh Rd,19454
"34 Centerton Rd,Mount Laurel, NJ 08054",Pho 9 - Pho Xinh,Mount Laurel,6/12/2010,Vietnamese,10/13/2020,4,246,NJ,34 Centerton Rd,08054
"600 Washington Ave,Philadelphia, PA 19147",Pho Ha,Philadelphia,11/4/2006,Vietnamese,10/9/2020,4,467,PA,600 Washington Ave,19147
"140 N Flowers Mill Rd,Langhorne, PA 19047",Osaka Sushi,Langhorne,9/22/2014,Japanese/Sushi Bars,9/7/2020,4,109,PA,140 N Flowers Mill Rd,19047
"115 N 10th St,Philadelphia, PA 19107",Asia Bakery,Philadelphia,5/23/2009,Bakeries,8/6/2020,4,59,PA,115 N 10th St,19107
"4205 Chestnut St,Philadelphia, PA 19104",Chili Szechuan,Philadelphia,7/22/2015,Chinese,10/29/2020,4,141,PA,4205 Chestnut St,19104
"301 Spring Garden St,Philadelphia, PA 19123",Ken Shin Asian Diner,Philadelphia,5/7/2009,Pan Asian/Desserts,10/24/2020,3,146,PA,301 Spring Garden St,19123
"4604 Woodland Ave,Philadelphia, PA 19143",Curry Bird,Philadelphia,3/18/2017,Chinese/Thai,10/17/2020,3,73,PA,4604 Woodland Ave,19143
"942 Race St,Philadelphia, PA 19107",Jade Harbor,Philadelphia,8/30/2006,Chinese/Seafood,9/19/2020,3,156,PA,942 Race St,19107
"1122 Washington Ave,Philadelphia, PA 19147",Pho 75,Philadelphia,3/1/2007,Vietnamese,10/28/2020,4,481,PA,1122 Washington Ave,19147
"1021 Arch St,Philadelphia, PA 19107",Tango,Philadelphia,5/15/2013,Lounges/Karaoke/Sushi Bars,8/16/2020,3,160,PA,1021 Arch St,19107
"45 N 13th St,Philadelphia, PA 19107",Kabuki Sushi,Philadelphia,8/26/2013,Sushi Bars/Japanese,7/12/2020,4,394,PA,45 N 13th St,19107
"130 Black Horse Pike,Ste 308,Audubon, NJ 08106",Pho Asia,Audubon,6/28/2019,Vietnamese/Noodles,10/30/2020,4,59,NJ,130 Black Horse Pike,08106
"470 2nd St Pike,Southampton, PA 18966",House of Pho,Southampton,3/21/2012,Vietnamese/Specialty Food,9/14/2020,3,180,PA,470 2nd St Pike,18966
"1200 S Church St,Mount Laurel Township, NJ 08054",Rai Rai Ramen,Mount Laurel Township,7/2/2019,Ramen,10/28/2020,4,147,NJ,1200 S Church St,08054
"17 North Main St,Unit b,Woodstown, NJ 08098",hitea,Woodstown,,Bubble Tea/Juice Bars & Smoothies,,,,NJ,17 North Main St,08098
"1808 Brownsville Rd,Feasterville-Trevose, PA 19053",MyThai Kitchen,Feasterville-Trevose,9/20/2018,Thai,10/31/2020,4,98,PA,1808 Brownsville Rd,19053
"41 Clementon Rd,Berlin, NJ 08009",Berlin Farmer's Market & Shopping Center,Berlin,1/7/2008,Shopping Centers/Farmers Market/Flea Markets,9/8/2020,3,71,NJ,41 Clementon Rd,08009
"S 31st & Ludlow St,Philadelphia, PA 19104",Cucina Zapata,Philadelphia,6/15/2011,Food Stands/Thai/Mexican,1/24/2020,4,248,PA,S 31st & Ludlow St,19104
"1025 Arch St,Philadelphia, PA 19107",Lair KTV | Sky Club,Philadelphia,9/5/2016,Karaoke/Lounges/Chinese,10/5/2020,3,41,PA,1025 Arch St,19107
"938 Arch St,Philadelphia, PA 19107",Frozen Rolled Ice Cream,Philadelphia,7/4/2016,Ice Cream & Frozen Yogurt,10/15/2020,4,186,PA,938 Arch St,19107
"106 N Essex Ave,Narberth, PA 19072",Pho-ever Yours,Narberth,2/5/2017,Vietnamese/Noodles/Soup,10/31/2020,4,78,PA,106 N Essex Ave,19072
"1100 Washington Ave,Philadelphia, PA 19147",Nam Phuong,Philadelphia,2/6/2007,Vietnamese/Seafood,9/20/2020,4,713,PA,1100 Washington Ave,19147
"127 N 10th St,Philadelphia, PA 19107",Zhong Gang Bakery,Philadelphia,10/24/2006,Coffee & Tea/Bakeries,8/17/2020,3,53,PA,127 N 10th St,19107
"20 E Eagle Rd,Havertown, PA 19083",Chaiya Thai & Asian Fusion,Havertown,,Thai/Asian Fusion,,,,PA,20 E Eagle Rd,19083
"3717 Chestnut St,Philadelphia, PA 19104",LaTao HotPot,Philadelphia,4/20/2018,Hot Pot,9/20/2020,4,102,PA,3717 Chestnut St,19104
"4500 City Ave,Philadelphia, PA 19131",Kung Fu Tea,Philadelphia,6/28/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,6/28/2020,5,1,PA,4500 City Ave,19131
"821 Adams Ave,Philadelphia, PA 19124",Ding Tea Philadelphia,Philadelphia,7/24/2020,Bubble Tea/Coffee & Tea/Ice Cream & Frozen Yogurt,9/13/2020,3,13,PA,821 Adams Ave,19124
"4500 City Ave,Philadelphia, PA 19131",TKK Fried Chicken,Philadelphia,2/6/2020,Bubble Tea/Chicken Wings,9/19/2020,4,10,PA,4500 City Ave,19131
"2842 Saint Vincent St,Ste A4,Philadelphia, PA 19149",Tbaar Philadelphia,Philadelphia,,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,12/25/2019,4,39,PA,2842 Saint Vincent St,19149
"4508 Walnut St,Philadelphia, PA 19139",Lulu Cafe,Philadelphia,2/26/2016,Coffee & Tea/Shaved Ice/Taiwanese,9/26/2020,4,145,PA,4508 Walnut St,19139
"24 E Lancaster Ave,Ardmore, PA 19003",Yi's Boba,Ardmore,12/9/2017,Bubble Tea,9/8/2020,4,50,PA,24 E Lancaster Ave,19003
"4415 Main St,Philadelphia, PA 19127",Tsaocaa,Philadelphia,11/2/2019,Bubble Tea/Ice Cream & Frozen Yogurt/Chicken Wings,10/13/2020,4,40,PA,4415 Main St,19127
"1006 Arch St,Philadelphia, PA 19107",Kung Fu Tea,Philadelphia,5/18/2014,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/28/2020,3,310,PA,1006 Arch St,19107
"108 Chestnut St,Philadelphia, PA 19106",T cafe,Philadelphia,1/7/2019,Bubble Tea/Coffee & Tea/Bakeries,9/22/2020,4,51,PA,108 Chestnut St,19106
"2110 Marlton Pike E Rt 70,Ste 18,Cherry Hill, NJ 08003",Bubblelicious Lab,Cherry Hill,10/17/2018,Bubble Tea,10/27/2020,4,79,NJ,2110 Marlton Pike E Rt 70,08003
"4321 Main St,Philadelphia, PA 19127",Tbaar,Philadelphia,5/10/2019,Bubble Tea/Juice Bars & Smoothies/Desserts,10/4/2020,4,25,PA,4321 Main St,19127
"600 Washington Ave,Ste 9,Philadelphia, PA 19147",BAMBU,Philadelphia,7/12/2014,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,8/1/2020,4,165,PA,600 Washington Ave,19147
"600 Washington Ave,Unit 5,Philadelphia, PA 19147",Sharetea,Philadelphia,10/1/2020,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/27/2020,5,12,PA,600 Washington Ave,19147
"3639 Lancaster Ave,Philadelphia, PA 19104",Woosa Bubble Tea,Philadelphia,1/13/2019,Bubble Tea,7/28/2020,4,40,PA,3639 Lancaster Ave,19104
"1200 Welsh Rd,Ste M,North Wales, PA 19454",Teapioca Lounge,North Wales,8/15/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/19/2020,4,97,PA,1200 Welsh Rd,19454
"530 E Girard Ave,Philadelphia, PA 19125",Kopi Latte,Philadelphia,,Coffee & Tea/Breakfast & Brunch,10/31/2020,4,52,PA,530 E Girard Ave,19125
"909 Arch St,Philadelphia, PA 19107",Bubblefish,Philadelphia,1/14/2016,Taiwanese/Bubble Tea/Japanese,10/16/2020,4,509,PA,909 Arch St,19107
"145 N 10th St,Philadelphia, PA 19107",Vivi Bubble Tea,Philadelphia,8/14/2015,Bubble Tea,10/6/2020,3,246,PA,145 N 10th St,19107
"13 N 32nd St,Philadelphia, PA 19104",KungFu Tea,Philadelphia,4/14/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/17/2020,4,24,PA,13 N 32nd St,19104
"1042 South St,Philadelphia, PA 19147",Tsaocaa,Philadelphia,9/20/2019,Bubble Tea,3/16/2020,3,16,PA,1042 South St,19147
"6846 Bustleton Ave,Philadelphia, PA 19149",Mr Wish,Philadelphia,5/11/2015,Bubble Tea/Juice Bars & Smoothies,7/14/2020,4,70,PA,6846 Bustleton Ave,19149
